#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
485290 1365690 350 1.3e-23  0 0 0 0 4.5e-183 4.2e-94 2.9e-48 1e+02 
485290 1367190 350 3.2e-23  0 0 0 0 1.9e-179 3.2e-92 2.7e-47 1e+02 
485290 1368690 350 7.6e-23  0 0 0 0 3.8e-176 1.7e-90 2.1e-46 1e+02 
485290 1370190 350 1.7e-22  0 0 0 0 3.4e-173 5.7e-89 1.3e-45 1e+02 
485290 1371690 350 3.3e-22  0 0 0 0 1.4e-170 1.3e-87 6.9e-45 1e+02 
485290 1373190 350 6e-22  0 0 0 5e-300 2.8e-168 2e-86 2.9e-44 1e+02 
485290 1374690 350 9.9e-22  0 0 0 1.4e-296 2.5e-166 2.1e-85 9.7e-44 1e+02 
485290 1376190 350 1.5e-21  0 0 0 1e-293 1e-164 1.5e-84 2.7e-43 1e+02 
485290 1377690 350 2.1e-21  0 0 0 1.9e-291 2e-163 6.8e-84 5.9e-43 1e+02 
485290 1379190 350 2.7e-21  0 0 0 9.1e-290 1.8e-162 2.1e-83 1.1e-42 1e+02 
485290 1380690 350 3.2e-21  0 0 0 1.1e-288 7.4e-162 4.4e-83 1.6e-42 1e+02 
485290 1382190 350 3.5e-21  0 0 0 3.5e-288 1.4e-161 6.1e-83 1.9e-42 1e+02 
485290 1383690 350 3.4e-21  0 0 0 2.8e-288 1.2e-161 5.7e-83 1.8e-42 1e+02 
485290 1385190 350 3.1e-21  0 0 0 5.6e-289 5e-162 3.6e-83 1.4e-42 1e+02 
485290 1386690 350 2.6e-21  0 0 0 2.9e-290 9.4e-163 1.5e-83 9e-43 1e+02 
485290 1388190 350 1.9e-21  0 0 0 3.8e-292 8.2e-164 4.2e-84 4.6e-43 1e+02 
485290 1389690 350 1.3e-21  0 0 0 1.3e-294 3.3e-165 8e-85 1.9e-43 1e+02 
485290 1391190 350 8.6e-22  0 0 0 1.1e-297 6.1e-167 1e-85 6.6e-44 1e+02 
485290 1392690 350 5e-22  0 0 0 0 5.3e-169 8.5e-87 1.8e-44 1e+02 
485290 1394190 350 2.7e-22  0 0 0 0 2.1e-171 4.8e-88 4.1e-45 1e+02 
485290 1395690 350 1.3e-22  0 0 0 0 3.8e-174 1.8e-89 7.5e-46 1e+02 
485290 1397190 350 5.9e-23  0 0 0 0 3.3e-177 4.7e-91 1.1e-46 1e+02 
485290 1398690 350 2.4e-23  0 0 0 0 1.3e-180 8e-93 1.3e-47 1e+02 
485290 1400190 350 9.2e-24  0 0 0 0 2.3e-184 9.1e-95 1.3e-48 1e+02 
485290 1401690 350 3.2e-24  0 0 0 0 1.9e-188 6.9e-97 1e-49 1e+02 
485290 1403190 350 1e-24  0 0 0 0 7.5e-193 3.6e-99 6.5e-51 1e+02 
485290 1404690 350 3e-25  0 0 0 0 1.3e-197 1.2e-101 3.4e-52 1e+02 
485290 1406190 350 7.9e-26  0 0 0 0 1.1e-202 2.8e-104 1.4e-53 1e+02 
485290 1407690 350 1.9e-26  0 0 0 0 4.3e-208 4.3e-107 5e-55 1e+02 
485290 1409190 350 4.4e-27  0 0 0 0 7.5e-214 4.4e-110 1.4e-56 1e+02 
485290 1410690 350 9e-28  0 0 0 0 6.1e-220 3.1e-113 3.1e-58 1e+02 
485290 1412190 350 1.7e-28  0 0 0 0 2.3e-226 1.4e-116 5.7e-60 1e+02 
485290 1413690 350 3e-29  0 0 0 0 4e-233 4.4e-120 8.6e-62 1e+02 
485290 1415190 350 4.7e-30  0 0 0 0 3.2e-240 9e-124 1e-63 1e+02 
485290 1416690 350 6.9e-31  0 0 0 0 1.2e-247 1.2e-127 1e-65 1e+02 
485290 1418190 350 9.3e-32  0 0 0 0 2.1e-255 1.2e-131 8.1e-68 1e+02 
485290 1419690 350 1.1e-32  0 0 0 0 1.6e-263 7.2e-136 5.3e-70 1e+02 
485290 1421190 350 1.3e-33  0 0 0 0 6e-272 3e-140 2.8e-72 1e+02 
485290 1422690 350 1.3e-34  0 0 0 0 1e-280 8.3e-145 1.2e-74 1e+02 
485290 1424190 350 1.3e-35  0 0 0 0 0 1.5e-149 4.1e-77 1e+02 
485290 1425690 350 1.1e-36  0 0 0 0 0 1.9e-154 1.1e-79 1e+02 
485290 1427190 350 9e-38  0 0 0 0 0 1.6e-159 2.6e-82 1e+02 
485290 1428690 350 6.6e-39  0 0 0 0 0 8.9e-165 4.8e-85 1e+02 
485290 1430190 350 4.5e-40  0 0 0 0 0 3.3e-170 7.2e-88 1e+02 
485290 1431690 350 2.8e-41  0 0 0 0 0 8.3e-176 8.8e-91 1e+02 
486790 1332690 350 5.5e-41  0 0 0 0 0 2.9e-174 5.5e-90 1e+02 
486790 1334190 350 9.4e-40  0 0 0 0 0 1.5e-168 5.2e-87 1e+02 
486790 1335690 350 1.5e-38  0 0 0 0 0 5.3e-163 4e-84 1e+02 
486790 1337190 350 2.1e-37  0 0 0 0 0 1.2e-157 2.5e-81 1e+02 
486790 1338690 350 2.8e-36  0 0 0 0 0 1.9e-152 1.3e-78 1e+02 
486790 1340190 350 3.4e-35  0 0 0 0 9.4e-286 2e-147 5.2e-76 1e+02 
486790 1341690 350 3.8e-34  0 0 0 0 2e-276 1.4e-142 1.7e-73 1e+02 
486790 1343190 350 3.9e-33  0 0 0 0 2e-267 6.7e-138 4.6e-71 1e+02 
486790 1344690 350 3.7e-32  0 0 0 0 9.2e-259 2.1e-133 1e-68 1e+02 
486790 1346190 350 3.2e-31  0 0 0 0 1.9e-250 4.4e-129 1.8e-66 1e+02 
486790 1347690 350 2.5e-30  0 0 0 0 1.9e-242 6.2e-125 2.6e-64 1e+02 
486790 1349190 350 1.8e-29  0 0 0 0 8.5e-235 5.9e-121 3e-62 1e+02 
486790 1350690 350 1.2e-28  0 0 0 0 1.8e-227 3.7e-117 2.9e-60 1e+02 
486790 1352190 350 7.4e-28  0 0 0 0 1.7e-220 1.6e-113 2.2e-58 1e+02 
486790 1353690 350 4.2e-27  0 0 0 0 7.6e-214 4.4e-110 1.4e-56 1e+02 
486790 1355190 350 2.2e-26  0 0 0 0 1.5e-207 8.4e-107 7e-55 1e+02 
486790 1356690 350 1e-25  0 0 0 0 1.5e-201 1.1e-103 2.9e-53 1e+02 
486790 1358190 350 4.4e-25  0 0 0 0 6.4e-196 9e-101 9.7e-52 1e+02 
486790 1359690 350 1.8e-24  0 0 0 0 1.3e-190 5.1e-98 2.6e-50 1e+02 
486790 1361190 350 6.4e-24  0 0 0 0 1.2e-185 2e-95 5.8e-49 1e+02 
486790 1362690 350 2.1e-23  0 0 0 0 5.2e-181 5e-93 1e-47 1e+02 
486790 1364190 350 6.6e-23  0 0 0 0 1e-176 8.5e-91 1.5e-46 1e+02 
